"name","asset_slug"
"不锈钢管","stainless-pipe"
"覆塑管红色","coated-pipe-red"
"覆塑管红色(A-UV)","coated-pipe-red-a-uv"
"覆塑管蓝色","coated-pipe-blue"
"覆塑管蓝色(A-UV)","coated-pipe-blue-a-uv"
"覆塑管深蓝色","coated-pipe-dark-blue"
"防腐保温管红色","anti-corrosion-insulated-pipe-red"
"防腐保温管蓝色","anti-corrosion-insulated-pipe-blue"
"防腐保温管银色","anti-corrosion-insulated-pipe-silver"
"瓦楞覆塑管红色","corrugated-coated-pipe-red"
"覆塑管红色(A-UA)","coated-pipe-red-a-ua"
"不锈钢管(环压)","stainless-pipe-press"
"不锈钢管(环压）","stainless-pipe-press"
"不锈钢管（环压）","stainless-pipe-press"
"覆塑管红色(环压)","coated-pipe-red-press"
"覆塑管红色(A-UV）","coated-pipe-red-a-uv"
"覆塑管红色(A-VU)","coated-pipe-red-a-vu"
"覆塑管红色(A-VU）","coated-pipe-red-a-vu"
"覆塑管蓝色(环压)","coated-pipe-blue-press"
"覆塑管蓝色(环压）","coated-pipe-blue-press"
"覆塑管蓝色（环压）","coated-pipe-blue-press"
"覆塑管银色","coated-pipe-silver"
"外螺纹覆塑管白色","male-thread-coated-pipe-white"
"内外螺纹覆塑管白色","male-female-thread-coated-pipe-white"
"覆塑管白色","coated-pipe-white"
"双层覆塑防腐保温管银色","double-layer-coated-anti-corrosion-insulated-pipe-silver"
"不锈钢聚氨酯保温管灰色","stainless-pu-insulated-pipe-gray"
"管桥","pipe-bridge"
"直管法兰接头","straight-pipe-flange-connector"
"直管凸面法兰接头(PN16)","straight-pipe-raised-face-flange-connector-pn16"
"直管凸面法兰接头","straight-pipe-raised-face-flange-connector"
"双卡等径接头","double-press-equal-connector"
"双卡异径接头","double-press-reducing-connector"
"双卡外螺纹转换接头","double-press-male-thread-adapter-connector"
"双卡内螺纹转换接头","double-press-female-thread-adapter-connector"
"双卡螺母移动转换接头","double-press-nut-movable-adapter-connector"
"双卡法兰转换接头","double-press-flange-adapter-connector"
"双卡凸面法兰转换接头(PN16)","double-press-raised-face-flange-adapter-connector-pn16"
"双卡凸面法兰转换接头(碟阀专用)(PN16)","double-press-raised-face-flange-adapter-connector-butterfly-valve-pn16"
"双卡A型45°弯头","double-press-type-a-45-elbow"
"双卡异径45°弯头","double-press-reducing-45-elbow"
"双卡A型45°弯头(短)","double-press-type-a-45-elbow-short"
"双卡A型90°弯头","double-press-type-a-90-elbow"
"双卡异径90°弯头","double-press-reducing-90-elbow"
"双卡外螺纹90°转换弯头","double-press-male-thread-90-adapter-elbow"
"双卡内螺纹90°转换弯头","double-press-female-thread-90-adapter-elbow"
"双卡螺母移动90°转换弯头","double-press-nut-movable-90-adapter-elbow"
"双卡B型45°弯头","double-press-type-b-45-elbow"
"双卡B型90°弯头","double-press-type-b-90-elbow"
"双卡等径三通","double-press-equal-tee"
"双卡异径三通","double-press-reducing-tee"
"双卡外螺纹三通","double-press-male-thread-tee"
"双卡内螺纹三通","double-press-female-thread-tee"
"双卡等径四通","double-press-equal-cross"
"双卡异径四通","double-press-reducing-cross"
"双卡管帽","double-press-cap"
"双卡管桥","double-press-pipe-bridge"
"双卡可调对接","double-press-adjustable-coupling"
"双卡外螺纹90°转换弯头(短型)","double-press-male-thread-90-adapter-elbow-short"
"双卡内螺纹90°转换弯头(短型)","double-press-female-thread-90-adapter-elbow-short"
"单卡等径接头","single-press-equal-connector"
"单卡异径接头","single-press-reducing-connector"
