code,name,size,material,category
110101012010300,不锈钢管,DN12,304,管材
110101012010600,不锈钢管,DN12,304,管材
110101015010300,不锈钢管,DN15,304,管材
110101015010600,不锈钢管,DN15,304,管材
110101020012300,不锈钢管,DN20,304,管材
110101020012600,不锈钢管,DN20,304,管材
110101020013600,不锈钢管,DN20,304,管材
110101025012300,不锈钢管,DN25,304,管材
110101025012600,不锈钢管,DN25,304,管材
110101032015300,不锈钢管,DN32,304,管材
110101032015600,不锈钢管,DN32,304,管材
110101040015300,不锈钢管,DN40,304,管材
110101040015600,不锈钢管,DN40,304,管材
110101050012600,不锈钢管,DN50,304,管材
110101050015300,不锈钢管,DN50,304,管材
110101050015600,不锈钢管,DN50,304,管材
110101060012600,不锈钢管,DN60,304,管材
110101060015600,不锈钢管,DN60,304,管材
110101065012600,不锈钢管,DN65,304,管材
110101065015000,不锈钢管,DN65,304,管材
110101065020000,不锈钢管,DN65,304,管材
110101065020001,不锈钢管,DN65,304,管材
110101065020002,不锈钢管,DN65,304,管材
110101065020300,不锈钢管,DN65,304,管材
110101065020600,不锈钢管,DN65,304,管材
110101080020200,不锈钢管,DN80,304,管材
110101080020300,不锈钢管,DN80,304,管材
110101080020600,不锈钢管,DN80,304,管材
110101100015000,不锈钢管,DN100,304,管材
110101100015300,不锈钢管,DN100,304,管材
110101100020000,不锈钢管,DN100,304,管材
110101100020300,不锈钢管,DN100,304,管材
110101100020600,不锈钢管,DN100,304,管材
110101100025600,不锈钢管,DN100,304,管材
110101100030600,不锈钢管,DN100,304,管材
110101100035600,不锈钢管,DN100,304,管材
110101100040600,不锈钢管,DN100,304,管材
110101125020300,不锈钢管,DN125,304,管材
110101125020600,不锈钢管,DN125,304,管材
110101125025300,不锈钢管,DN125,304,管材
110101125025400,不锈钢管,DN125,304,管材
110101125025600,不锈钢管,DN125,304,管材
110101125030600,不锈钢管,DN125,304,管材
110101150020300,不锈钢管,DN150,304,管材
110101150020600,不锈钢管,DN150,304,管材
110101150025300,不锈钢管,DN150,304,管材
110101150025400,不锈钢管,DN150,304,管材
110101150025600,不锈钢管,DN150,304,管材
110101150030600,不锈钢管,DN150,304,管材
110101150035600,不锈钢管,DN150,304,管材
110101150040601,不锈钢管,DN150,304,管材
110101159030000,不锈钢管,DN150,304,管材
110101200025600,不锈钢管,DN200,304,管材
110101200030300,不锈钢管,DN200,304,管材
110101200030600,不锈钢管,DN200,304,管材
110101200035600,不锈钢管,DN200,304,管材
110101200040600,不锈钢管,DN200,304,管材
110101200060600,不锈钢管,DN200,304,管材
110101250030600,不锈钢管,DN250,304,管材
110101250035600,不锈钢管,DN250,304,管材
110101250040600,不锈钢管,DN250,304,管材
110101300030600,不锈钢管,DN300,304,管材
110101300040600,不锈钢管,DN300,304,管材
110101300050600,不锈钢管,DN300,304,管材
110101300080600,不锈钢管,DN300,304,管材
110101350040600,不锈钢管,DN350,304,管材
110101350050600,不锈钢管,DN350,304,管材
110101350100600,不锈钢管,DN350,304,管材
110101400040600,不锈钢管,DN400,304,管材
110101400050600,不锈钢管,DN400,304,管材
